Index,Formula,Compounds,物质,Class I,物质一级分类,Class II,物质二级分类,CAS,Mild_1,Mild_30,Mild_29,Mild_28,Mild_27,Mild_26,Mild_25,Mild_24,Mild_22,Mild_21,Mild_20,Mild_19,Mild_18,Mild_17,Mild_16,Mild_23,Mild_14,Mild_15,Mild_2,Mild_3,Mild_4,Mild_5,Mild_7,Mild_6,Mild_9,Mild_10,Mild_11,Mild_12,Mild_13,Mild_8,Moderate_18,Moderate_22,Moderate_19,Moderate_20,Moderate_21,Moderate_23,Moderate_30,Moderate_25,Moderate_26,Moderate_27,Moderate_28,Moderate_29,Moderate_17,Moderate_24,Moderate_16,Moderate_15,Moderate_14,Moderate_2,Moderate_3,Moderate_4,Moderate_5,Moderate_6,Moderate_7,Moderate_1,Moderate_9,Moderate_10,Moderate_11,Moderate_12,Moderate_13,Moderate_8,Severe_17,Severe_18,Severe_19,Severe_20,Severe_21,Severe_22,Severe_25,Severe_24,Severe_26,Severe_27,Severe_28,Severe_16,Severe_23,Severe_15,Severe_8,Severe_13,Severe_12,Severe_11,Severe_10,Severe_9,Severe_29,Severe_7,Severe_6,Severe_5,Severe_4,Severe_3,Severe_2,Severe_1,Severe_14,Severe_30,VIP,Pvalue,Type
Compound_0,C15H24O2,Latia luciferin,拉丁萤光素,"Aldehyde,Ketones,Esters",醛、酮、酯类,Aldehydes,醛类,21730-91-6,1102528.970729758,1166152.951598368,1260068.550487185,1192667.715223041,1372621.9736135567,1275014.266596764,1288468.57916449,1308087.9868885493,1264703.68622339,1318777.053555485,1271040.694305345,1230295.73443993,1235389.692018882,1269743.289783383,1257324.492948135,1308688.79044325,1256757.235421862,1140275.89240091,1123574.1448134447,1154348.79434004,1149322.800223934,1126287.462465558,1236979.148104799,1232232.203760369,1316879.473264538,1024890.697041565,1240893.593700584,1219851.0667227907,1239768.9718975653,1280869.58889495,1432442.532287745,1377567.949400199,1338602.916755131,1393209.9229744533,1396964.820825519,1389928.960629366,1476741.527162768,1434243.2917525447,1492458.150328959,1376996.0096354133,1343925.8485875607,1430086.505805347,1376801.2820415867,1341723.812317131,1367534.45214133,1318884.582484508,1362069.081117369,1252783.320742205,1327680.475053747,1215009.961433872,1357983.268556976,1363553.502229104,1346568.777779559,1382640.61858045,1286480.581616648,1393122.801042768,1347496.417258455,1275473.519703272,1346803.933924218,1326590.865398988,1529419.512298079,1494772.239339239,1570206.180913221,1439327.723309029,1525797.4026252667,1428073.934983741,1405674.2652688853,1489480.698982009,1508429.358788874,1431746.34626219,1388665.1466971913,1434081.6437796487,1504486.615458413,1347661.997424469,1417198.96581725,1603452.7086027707,1443744.026683666,1412225.854325115,1447440.257931745,1434586.534467769,1445040.90650657,1482230.331078088,1421178.73405466,1352495.875627739,1425540.107512502,1401867.172163849,1386107.728748102,1438736.98187625,1444984.0305393387,1454267.548059438,3.391796332671016,1.519698813097593e-21,up
Compound_1,C15H24O2,"2,6-Di-tert-butyl-4-(hydroxymethyl)phenol","2,6-二叔丁基-4-(羟甲基)苯酚",Benzene and substituted derivatives,苯及其衍生物,Benzene and substituted derivatives,苯及其衍生物,88-26-6,1214097.935114141,1332149.319784526,1387511.619880777,1209306.960315431,1324255.589790968,1350559.174276978,1371038.175870141,1452371.408885921,1290268.18283622,1358880.738509245,1351008.446354234,1378144.241842263,1427802.513402937,1374413.289654688,1394544.386501144,1404269.714680004,1349385.209737054,1306035.857913668,1224539.893166721,1262282.252309362,1262087.682611711,1215921.984802275,1225894.819354645,1261865.649521582,1312433.0299704913,1237273.757192328,1271859.06201322,1293449.3447654813,1249492.857345292,1396681.530108646,1523720.268585576,1402331.602743673,1375605.453454969,1403462.931747048,1502789.03238136,1538459.8090017347,1393719.081143145,1394367.8319480347,1345460.713315403,1455774.483512603,1450095.464499242,1476543.2603127933,1539187.036879837,1520349.641345953,1324052.810077934,1455400.412598511,1405215.982044845,1328101.541306205,1356855.206412396,1404571.597316988,1483200.228760033,1367731.129080205,1479327.790041097,1356028.660986905,1350487.44401445,1452435.935074245,1471528.779579058,1300710.580968184,1443093.986196142,1318447.655872985,1481117.762795906,1514563.6374988067,1369877.6279245233,1558202.706832326,1486636.620037372,1497189.094205858,1609152.929458147,1477646.458810218,1615476.647908334,1504883.961529746,1576350.368912164,1458657.662099727,1359586.6314879367,1473244.096655,1542129.672730859,1454466.6627289853,1590423.429084814,1519700.622325759,1518197.57385423,1622102.089735748,1487608.996022854,1525183.7664043447,1556706.0078011693,1536529.787147373,1541264.697984973,1436522.25655802,1538866.2052998133,1457085.8763435993,1535677.595814063,1539937.66551458,3.248948423649678,1.211649081437739e-17,up
Compound_2,C13H22N2,"N,N′-dicyclohexylcarbodiimide","N,N‘-二环己基碳二亚胺",Alcohol and amines,醇、胺类,Polyamines,多胺,538-75-0,6632580.46714614,9494984.70370525,8777113.801990703,11681125.94560194,7999911.391038679,7498904.9845467005,7134642.703473956,7828435.484052387,8518700.785733722,7573737.230424138,7401594.619059386,8403458.188298197,8695932.966823945,10418183.05758965,7639279.619359133,7055741.682404575,5101019.21316414,9099765.333206365,6937613.804448803,7227507.855534479,7250498.436427786,6825380.117913601,7499094.087844444,7162596.667191537,8489422.678569917,8848273.111709554,7893995.085061296,7815222.185074441,6987250.406334152,7942878.911108763,8323105.375770821,14824531.1433119,13132584.68072415,10613922.9398164,12794559.840029947,12318157.23256064,13464892.97036172,14888117.96947757,15029167.08326113,14376395.217446852,11251053.27999704,11957069.23528646,6775772.782661381,15318373.012390953,9596189.665718611,7875616.369039871,7499449.44841367,7621297.095624327,8963488.091641763,6602529.013927232,7590743.521987312,7858233.899846835,8010111.70965792,7289670.153647241,6891772.506624651,8683119.429872015,8800375.399838833,7669614.134961857,8490977.995334206,8502349.794150487,12510724.72501238,10735717.2536202,12169476.484990733,16166218.606087267,13375173.72048202,13407713.3129716,11672765.007336993,11180744.74587202,10215052.81505648,12454083.10674932,17865260.95048869,15502694.22483934,14348271.02877933,12527859.56115056,11900034.23098806,13663513.403762927,11009064.24843928,14792665.14352668,13743064.33085646,13878185.5213046,14605977.721624307,11769943.04953371,13959106.0780603,12586287.435660953,14655617.91889684,15130113.758048533,17350584.71539384,17740721.10620359,9467288.17872127,15065685.58298188,3.180955944886407,6.485505032213271e-15,up
Compound_3,C14H22O,"2,4-Di-tert-butylphenol","2,4-二叔丁基苯酚",Benzene and substituted derivatives,苯及其衍生物,Phenolics,苯酚类,96-76-4,158788.0733501089,222851.8423517239,178033.2347824043,190603.0099687234,182391.2290190395,166942.5004969673,144108.6580242315,158229.0185758662,217173.9948822376,173777.9230097339,184040.206925053,161088.1164791341,210634.4728877344,177900.6459299732,183651.20175605,178507.5963597552,136856.9271306961,236116.858297053,122248.44926507288,174046.3029401891,132716.4463501124,124021.6620226502,147044.7011474472,137765.5080759247,185333.3556181579,188206.7196941754,184303.1009332791,168329.7036955436,161172.4642453177,204768.2548868073,235170.6783403945,296722.7991629453,266940.8991098882,259261.4809478043,307375.8680514691,345684.1902525942,298114.3499419074,283658.1998153859,314716.9279798655,306791.3125078563,231111.71732005847,253421.4749855305,136139.5213077397,286027.9110896333,206818.1076845812,145979.9836525914,184603.4276088716,193889.500127772,188432.5149895093,219341.3926795773,158312.5732147094,164863.6445176257,231822.4049518612,133922.1342100658,124917.5981166662,156928.5895859445,188718.1959877407,201488.0498691031,156742.9554109508,198859.5835232948,315184.1741773292,262495.0528241822,220672.9825398753,300473.8984768149,250614.1343288309,280646.8964745257,238183.2011053802,239969.6587327975,321780.1157798613,272782.3326672951,329215.8041970595,418732.3968456245,258648.7373396777,292261.8171393801,323894.135089011,257132.905198765,294925.9015614462,312869.1298338062,292711.7183246418,342472.6878896835,330065.2676367653,198077.2006977228,297479.984424074,266556.0519207665,343660.1485619531,368474.4141342447,284771.4123489152,283240.7939560859,297742.1677899032,298679.415599542,3.14905866024425,7.324823467599217e-15,up
Compound_4,C14H22O,4-tert-Octylphenol,"4-(1,1,3,3-四甲基丁基)苯酚",Benzene and substituted derivatives,苯及其衍生物,Phenolics,苯酚类,140-66-9,158788.0733501089,222851.8423517239,178033.2347824043,190603.0099687234,182391.2290190395,166942.5004969673,144108.6580242315,158229.0185758662,217173.9948822376,173777.9230097339,184040.206925053,161088.1164791341,210634.4728877344,177900.6459299732,183651.20175605,178507.5963597552,136856.9271306961,236116.858297053,122248.44926507288,174046.3029401891,132716.4463501124,124021.6620226502,147044.7011474472,137765.5080759247,185333.3556181579,188206.7196941754,184303.1009332791,168329.7036955436,161172.4642453177,204768.2548868073,235170.6783403945,296722.7991629453,266940.8991098882,259261.4809478043,307375.8680514691,345684.1902525942,298114.3499419074,283658.1998153859,314716.9279798655,306791.3125078563,231111.71732005847,253421.4749855305,136139.5213077397,286027.9110896333,206818.1076845812,145979.9836525914,184603.4276088716,193889.500127772,188432.5149895093,219341.3926795773,158312.5732147094,164863.6445176257,231822.4049518612,133922.1342100658,124917.5981166662,156928.5895859445,188718.1959877407,201488.0498691031,156742.9554109508,198859.5835232948,315184.1741773292,262495.0528241822,220672.9825398753,300473.8984768149,250614.1343288309,280646.8964745257,238183.2011053802,239969.6587327975,321780.1157798613,272782.3326672951,329215.8041970595,418732.3968456245,258648.7373396777,292261.8171393801,323894.135089011,257132.905198765,294925.9015614462,312869.1298338062,292711.7183246418,342472.6878896835,330065.2676367653,198077.2006977228,297479.984424074,266556.0519207665,343660.1485619531,368474.4141342447,284771.4123489152,283240.7939560859,297742.1677899032,298679.415599542,3.14905866024425,7.324823467599217e-15,up
Compound_5,C16H16ClNO3,Fenoldopam,非诺多泮,Others,其他,Medicine,药物,67227-56-9,197889.6153573422,214393.0259377189,218173.4440635898,213245.9209012643,195066.5010406659,208802.522728274,205873.0559744317,209238.7969352132,208003.0433228055,209886.9923511879,204694.7690305682,205335.5728299557,217606.5374424652,218282.9098647704,203012.0762567975,215052.9961661332,200683.041191335,205636.9208518334,200754.5341622941,199717.4332620642,202583.6808062356,212523.2334042577,201594.6603190411,204325.8061464869,196181.663168235,197482.4761508729,210493.7509640085,202080.7932002275,193570.3069879393,197408.4232721509,221053.6196345763,209848.9805921233,200360.5562088999,224489.2311008241,213425.3152713788,212476.8984513773,225207.3553412343,215811.6178684319,226232.0971204966,214556.5513818329,203744.5023702514,212828.2301099628,226570.8185371437,231135.9528516644,211271.0622034275,211354.701623094,216425.4857507425,197595.1437165946,204279.6090647127,201607.2305490975,211693.8380956072,211969.7941073182,205033.2592529544,211942.1531837999,214815.7173160426,211291.3704031357,219617.2413404367,205997.9555685125,221938.3006601728,211407.8020926223,251870.1956793967,233956.2917017578,235474.2588709412,255738.6636912117,219712.3518409885,219328.8310699205,237899.7132379767,211373.3228142259,219561.3653404989,240613.4064267051,207943.9856739124,249169.8172777195,206866.4610828913,219170.1368895293,228259.6847425805,248004.4540628477,248002.8944876793,219694.580522688,274403.1114078846,238332.6271393308,205266.0404910273,228996.9765961804,238889.7134936936,245437.4713061022,220945.3033198148,245344.5212454888,233851.0969494545,231993.784813744,224355.0111273057,213081.2174203107,2.950294976714328,2.233432558133526e-13,up
Compound_6,C18H22O5S,estrone 3-sulfate,雌酮3-硫酸盐,Hormones and hormone related compounds,激素及激素相关物质,Hormones and hormone related compounds,激素及激素相关物质,481-97-0,37470.53653325522,50413.07522201898,46301.63432904194,52562.07194278749,55555.05349047056,53287.25026980077,47980.23067592968,52006.30438924512,53535.51126080038,51007.68083693321,48277.0115009009,55859.18484158573,48246.40921654722,49211.77845304365,48029.37767246876,52130.69200242352,45906.48176793909,48610.03553087584,43960.5596489996,46711.36653303992,40566.08855873933,43925.24611946083,45620.12093324849,45195.20154882105,52282.82723335834,51038.34909949409,46924.32849384303,52129.90381529615,46455.37396891325,49475.68856645318,51817.86327938262,57905.10119585392,49627.37192220808,52616.23416825673,43041.20775197412,53127.16187242819,57947.53924580593,48659.75787672338,57787.06487599128,55750.64921074402,51838.49982367297,52268.32321750454,53821.57393234989,52755.14534145864,52579.57816391894,49530.44005047515,54078.27739866274,52635.721776367165,56009.96117848173,47330.5903169629,49525.23489990526,55900.52690526453,51593.24131198993,52960.53905738746,48781.53979223478,52502.61535184977,57857.41671327427,55215.53182240492,58162.58865333712,55379.87310426713,58412.71029842008,53596.49152482599,59594.88480626456,54948.26017689287,56898.66546389686,54405.23143920882,56200.60310780088,54654.16336134755,59257.07521472881,57902.53966839492,62318.57756466707,57212.57716092107,59316.77452606414,52226.30499103208,51592.460993886685,58534.13470677697,56819.22810050374,63140.93946150233,60130.65488368039,59174.86800991576,56177.75946768523,57715.32585718232,52028.38796518746,50373.0286190944,58150.81058101299,63459.6695065283,55275.69235872439,65058.87874347808,55360.01520989268,51662.60222429306,2.793521389249344,4.170702544284505e-12,up
Compound_7,C16H13Cl2NO4,Aceclofenac,醋氯芬酸,Benzene and substituted derivatives,苯及其衍生物,Benzene and substituted derivatives,苯及其衍生物,-,4846409.576562292,5790087.104878321,4419424.125738549,6963951.679713688,5276169.419200596,4414282.584874406,5613810.093356108,4266376.607705689,5097094.690356782,4586068.647830997,4748938.617321558,5567409.79004197,4781385.558899936,5228414.447663228,4657772.286914565,5391596.510256329,4232036.215110362,4950684.939034845,3505608.398649594,4399497.574364848,3485659.075131657,4077350.1566148014,3810541.462751138,4158833.6774856914,4699261.173546247,4980927.423439036,4525411.446132259,5616029.114648649,4238991.389624447,5237461.591436039,5204554.984529031,5653940.690544398,5968708.350547518,4735071.860151853,4785444.206691184,5852020.955068485,5758643.245503333,4990716.827927811,6745004.749150641,5749227.693866063,5786148.351079366,5125200.065098245,5181093.152000113,5756455.807304991,5886394.125292194,4787272.660395891,6315469.340647043,5608299.21428168,4965714.365018297,5602425.832553373,5008371.111142864,5429769.647452162,5566453.249245124,4929903.733193018,4722014.856239678,5702766.498094011,5828012.971882741,5664067.836174993,5749329.033953313,5850059.493379612,6338994.875742868,6226905.515160501,5505875.517627464,6065781.909809187,6162861.289401247,5653127.771393719,5441127.479451247,6435293.063569398,6440813.616532599,5456903.238311626,6271210.992536237,6289195.091343571,5556991.760860351,5408778.684608903,5634592.04553623,5936841.997662422,6378776.596174506,5847525.251169632,5634038.069664798,5926741.952664673,5838377.32513002,5653871.169617457,5692004.604019146,5953382.406354583,6435432.7427969,6551943.87150286,6022555.038877987,6101748.506919323,6188310.123002506,6229586.18933867,2.748614196805883,4.294594661037338e-12,up
Compound_8,C8H16N2O4,Cork-oximate,软木肟酸,Organic acid and Its derivatives,有机酸及其衍生物,Organic acid and Its derivatives,有机酸及其衍生物,38937-66-5,102898.2522255467,221078.4817442137,197354.2524629052,287002.1929460955,212678.302255288,234927.1083732355,222103.4749835176,186515.7494480793,167886.1406797649,138644.3967795885,182313.9455324807,181435.7818797019,174620.6231013766,193328.6509491148,191047.8193510596,151742.2441203719,174019.5697678617,191733.1736557393,163564.8197944144,130710.14512535448,148550.1453041421,70292.1120829396,160733.6600256505,141151.5672463292,139581.5723872029,71494.8376868076,152611.8516102653,137818.9775403256,161804.5628999773,131038.283555234,232990.1806334137,284465.9878272822,211235.5680298034,258581.5749875747,194160.2967361325,202106.5264168457,216129.9127435368,269742.6020031617,351760.766324468,270419.6993860135,210995.3228226907,243562.483425207,182772.4345666413,236264.9170327384,217208.5931797427,218615.40826548653,242832.50037061053,228785.6962574324,184323.80764078847,211580.4808097955,205524.9997710437,217418.6564106359,212629.2731042289,184112.8973139224,182016.9723022673,196207.8920739947,205569.7634050664,243807.096084398,250901.2631251281,212142.328141894,239638.6319482832,253530.6973541131,269093.6935929896,257528.4232250945,274512.3146401079,225965.4223801386,238994.3724962718,248535.3240213059,214639.5201001947,262664.1132771876,257201.9868392034,268911.0752480907,222760.11370399,251314.6596995586,293028.9414285764,261974.7107037382,215817.1323484913,200109.5232464064,199574.6069156343,206127.636288402,328172.0793849575,254191.6069645098,235747.1464808169,205365.6590139366,229913.5875307568,287982.4714090221,248393.0137842335,270563.5275886969,203629.3769091444,271751.739994972,2.747352971152821,6.142847521572947e-12,up
Compound_9,C9H10O3,(R)-2-Hydroxy-3-phenylpropionic acid,(R)-(+)-3-苯乳酸,Organic acid and Its derivatives,有机酸及其衍生物,Organic acid and Its derivatives,有机酸及其衍生物,7326-19-4,2901230.23663139,5463803.115873965,4916620.376937121,5288238.764474931,4068179.033634421,4661891.457840847,4558133.381160684,4830087.828718469,4113872.259063625,4468576.450012452,4083113.2289018966,4012454.224874476,4030734.2172707263,4962630.912264959,3868830.479674822,4568178.608475865,3661650.101757113,3709517.294475084,3333034.091220437,341968.9997949884,599156.5834794011,587784.786296185,3075060.090322996,3890648.720615231,542168.5077582197,2847341.722393224,2763525.722803261,2388590.083622373,2168052.324871674,2576464.760203925,5048784.666680248,5300335.508047463,5246597.476625016,5405457.958208052,5097169.118117445,4478317.60546021,5415206.245145237,6094464.787846975,7567220.382849772,5669432.033097948,4727812.097689051,4902177.499312527,3283813.040943573,6064086.942319615,4996724.671245536,4295625.43614265,5087032.214691918,5718039.36890926,3925754.176284216,4008194.83472848,4439752.615345275,4523259.242340954,4556741.185170723,3834459.499648338,3666786.52161698,3920043.967023666,4028782.731393963,4753099.400948814,5748774.572834694,3859753.1912882193,5941992.756754811,4487327.541048703,5999175.160939712,5272401.553304294,7263494.801305959,5789725.358098154,6479681.093131629,5052134.515548028,5561146.465847099,4583450.452736265,7692827.361799512,6517677.115721238,3275030.1690316186,4681421.453229256,5331929.088889527,6380557.613972289,5219799.182311549,5010731.603050267,6096051.507243986,5371819.948981555,7890961.6398784835,4323797.120988538,4888430.176106323,7110201.861268638,5132481.902292274,6307349.954230877,4868320.75015924,5782515.663871133,5938878.702881497,6963446.648616976,2.248916239386819,1.7361934023850628e-10,up
